run_time,system,model,model_assignment,tasks_total,tasks_scored,tasks_passed,success_rate_pct,tasks_escalated,orchestration_tokens,orchestration_cost_usd,task_cost_usd,total_system_cost_usd,eval_cost_usd,total_latency_s,total_data_kb,total_iterations,tasks_retried,total_tool_calls,vision_model
2026-08-25 22:14:36,cloud_only,gpt-4o-mini,n/a,44,44,38,86.4,0,16373,0.005403,0.156655,0.162058,0.01009815,192.79,25.949,0,0,0,qwen2.5vl:3b
2026-08-25 22:18:47,local_only,qwen2.5:0.5b,n/a,44,44,23,52.3,0,16397,0.005411,0.0,0.005411,0.0099048,73.24,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 22:26:22,hybrid,qwen2.5:0.5b,n/a,44,44,39,88.6,21,20137,0.006645,0.004952,0.011597,0.0151617,57.77,11.927,0,0,0,qwen2.5vl:3b
2026-08-25 22:32:16,local_only,qwen2.5:1.5b,n/a,44,44,32,72.7,0,19235,0.006348,0.0,0.006348,0.0104772,123.58,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 22:39:39,hybrid,qwen2.5:1.5b,n/a,44,44,39,88.6,16,18984,0.006265,0.003818,0.010083,0.0142335,111.93,11.524,0,0,0,qwen2.5vl:3b
2026-08-25 22:46:11,local_only,qwen2.5:3b,n/a,44,44,34,77.3,0,20684,0.006826,0.0,0.006826,0.01060125,202.91,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 22:54:25,hybrid,qwen2.5:3b,n/a,44,44,38,86.4,10,20455,0.00675,0.002719,0.009469,0.01316415,192.55,5.106,0,0,0,qwen2.5vl:3b
2026-08-25 23:03:55,local_only,qwen2.5:7b,n/a,44,44,35,79.5,0,19500,0.006435,0.0,0.006435,0.0105261,366.07,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 23:13:57,hybrid,qwen2.5:7b,n/a,44,44,39,88.6,9,19523,0.006443,0.002112,0.008555,0.0127572,334.72,2.749,0,0,0,qwen2.5vl:3b
2026-08-25 23:26:27,local_only,qwen2.5:7b-instruct-q8_0,n/a,44,44,35,79.5,0,18997,0.006269,0.0,0.006269,0.0104676,542.05,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 23:39:21,hybrid,qwen2.5:7b-instruct-q8_0,n/a,44,44,39,88.6,9,19034,0.006281,0.00201,0.008291,0.0128178,521.67,1.69,0,0,0,qwen2.5vl:3b
2026-08-25 23:44:34,local_only,llama3.2:3b,n/a,44,44,37,84.1,0,14994,0.004948,0.0,0.004948,0.0097566,151.65,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 23:52:06,hybrid,llama3.2:3b,n/a,44,44,38,86.4,13,18931,0.006247,0.00336,0.009607,0.01338855,155.85,5.35,0,0,0,qwen2.5vl:3b
2026-08-25 23:58:16,local_only,qwen2.5:3b,n/a,44,44,31,70.5,0,19702,0.006502,0.0,0.006502,0.0105102,195.13,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:04:32,local_only,qwen2.5:3b,n/a,44,44,29,65.9,0,19843,0.006548,0.0,0.006548,0.0104421,203.31,0.0,0,0,0,llava:7b
2026-08-26 00:10:50,cloud_only,gpt-4o-mini,n/a,44,44,37,84.1,0,16441,0.005426,0.157114,0.16254,0.0100389,193.97,25.949,0,0,0,qwen2.5vl:3b
2026-08-26 00:14:43,local_only,qwen2.5:0.5b,n/a,44,44,23,52.3,0,15318,0.005055,0.0,0.005055,0.0096813,69.76,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:21:30,hybrid,qwen2.5:0.5b,n/a,44,44,39,88.6,21,20859,0.006883,0.0099,0.016783,0.01604445,67.93,14.853,0,0,0,qwen2.5vl:3b
2026-08-26 00:26:05,local_only,qwen2.5:1.5b,n/a,44,44,34,77.3,0,18490,0.006102,0.0,0.006102,0.01037355,119.59,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:34:26,hybrid,qwen2.5:1.5b,n/a,44,44,39,88.6,13,18280,0.006032,0.008555,0.014587,0.0138234,220.71,5.671,0,0,0,qwen2.5vl:3b
2026-08-26 00:40:26,local_only,qwen2.5:3b,n/a,44,44,31,70.5,0,19062,0.00629,0.0,0.00629,0.01044705,190.45,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:48:21,hybrid,qwen2.5:3b,n/a,44,44,39,88.6,11,20739,0.006844,0.00241,0.009254,0.01363995,201.24,3.711,0,0,0,qwen2.5vl:3b
2026-08-26 00:57:02,local_only,qwen2.5:7b,n/a,44,44,35,79.5,0,18760,0.006191,0.0,0.006191,0.01042485,354.11,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:07:13,hybrid,qwen2.5:7b,n/a,44,44,39,88.6,9,18662,0.006158,0.002135,0.008293,0.0123963,326.72,3.228,0,0,0,qwen2.5vl:3b
2026-08-26 01:19:19,local_only,qwen2.5:7b-instruct-q8_0,n/a,44,44,35,79.5,0,19062,0.00629,0.0,0.00629,0.0104235,537.33,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:32:30,hybrid,qwen2.5:7b-instruct-q8_0,n/a,44,44,39,88.6,7,19541,0.006449,0.001573,0.008022,0.01207155,531.84,1.212,0,0,0,qwen2.5vl:3b
2026-08-26 01:37:59,local_only,llama3.2:3b,n/a,44,44,33,75.0,0,15669,0.005171,0.0,0.005171,0.0099915,152.39,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:44:58,hybrid,llama3.2:3b,n/a,44,44,40,90.9,10,18312,0.006043,0.002452,0.008495,0.0130395,147.83,3.927,0,0,0,qwen2.5vl:3b
2026-08-26 01:50:59,local_only,qwen2.5:3b,n/a,44,44,33,75.0,0,19809,0.006537,0.0,0.006537,0.0105171,194.7,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:56:51,local_only,qwen2.5:3b,n/a,44,44,24,54.5,0,19239,0.006349,0.0,0.006349,0.01038135,189.43,0.0,0,0,0,llava:7b
2026-08-26 02:02:38,cloud_only,gpt-4o-mini,n/a,44,44,37,84.1,0,16107,0.005315,0.155248,0.160563,0.01003065,175.43,25.949,0,0,0,qwen2.5vl:3b
2026-08-26 02:06:46,local_only,qwen2.5:0.5b,n/a,44,44,22,50.0,0,14673,0.004842,0.0,0.004842,0.00969555,68.64,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 02:14:10,hybrid,qwen2.5:0.5b,n/a,44,44,40,90.9,21,18889,0.006233,0.010517,0.01675,0.01542315,59.04,14.01,0,0,0,qwen2.5vl:3b
2026-08-26 02:19:00,local_only,qwen2.5:1.5b,n/a,44,44,32,72.7,0,18470,0.006095,0.0,0.006095,0.0103239,120.16,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 02:26:13,hybrid,qwen2.5:1.5b,n/a,44,44,38,86.4,16,19399,0.006402,0.004432,0.010834,0.0142482,110.11,11.063,0,0,0,qwen2.5vl:3b
2026-08-26 02:32:17,local_only,qwen2.5:3b,n/a,44,44,34,77.3,0,19813,0.006538,0.0,0.006538,0.01059765,198.0,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 02:40:56,hybrid,qwen2.5:3b,n/a,44,44,38,86.4,14,20571,0.006788,0.003389,0.010177,0.0143745,193.54,7.179,0,0,0,qwen2.5vl:3b
2026-08-26 02:49:56,local_only,qwen2.5:7b,n/a,44,44,35,79.5,0,19065,0.006291,0.0,0.006291,0.01046145,359.16,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:00:24,hybrid,qwen2.5:7b,n/a,44,44,38,86.4,10,20047,0.006616,0.002515,0.009131,0.013083,365.72,5.298,0,0,0,qwen2.5vl:3b
2026-08-26 03:12:09,local_only,qwen2.5:7b-instruct-q8_0,n/a,44,44,33,75.0,0,18572,0.006129,0.0,0.006129,0.0103785,525.27,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:24:41,hybrid,qwen2.5:7b-instruct-q8_0,n/a,44,44,39,88.6,9,18824,0.006212,0.002212,0.008424,0.01283625,502.69,3.424,0,0,0,qwen2.5vl:3b
2026-08-26 03:29:53,local_only,llama3.2:3b,n/a,44,44,31,70.5,0,15361,0.005069,0.0,0.005069,0.00985455,149.05,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:36:45,hybrid,llama3.2:3b,n/a,44,44,40,90.9,9,18139,0.005986,0.002413,0.008399,0.0127992,151.54,3.858,0,0,0,qwen2.5vl:3b
2026-08-26 03:42:46,local_only,qwen2.5:3b,n/a,44,44,32,72.7,0,20725,0.006839,0.0,0.006839,0.0106719,205.06,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:48:58,local_only,qwen2.5:3b,n/a,44,44,26,59.1,0,20740,0.006844,0.0,0.006844,0.01066875,215.94,0.0,0,0,0,llava:7b
2026-08-27 03:04:53,v2_local,qwen2.5:3b,specialist,44,44,29,65.9,0,19026,0.006279,0.0,0.006279,0.0102681,515.9,0.0,84,39,70,qwen2.5vl:3b
2026-08-27 03:25:49,v2_local,qwen2.5:3b,shared_generalist,44,44,27,61.4,0,17136,0.005655,0.0,0.005655,0.00997275,1101.19,0.0,78,36,127,qwen2.5vl:3b
2026-08-27 03:39:09,v2_hybrid,qwen2.5:3b,specialist,44,44,38,86.4,14,20345,0.006714,0.009102,0.015816,0.0140742,491.72,8.295,84,39,77,qwen2.5vl:3b
2026-08-27 03:53:16,v2_hybrid,qwen2.5:3b,shared_generalist,44,44,41,93.2,16,18386,0.006067,0.008385,0.014452,0.01294875,559.23,5.729,84,39,161,qwen2.5vl:3b
2026-08-27 04:09:20,v2_local,qwen2.5:7b,specialist,44,44,37,84.1,0,17751,0.005858,0.0,0.005858,0.01022415,787.97,0.0,74,29,85,qwen2.5vl:3b
2026-08-27 04:33:01,v2_local,qwen2.5:7b,shared_generalist,44,44,30,68.2,0,17018,0.005616,0.0,0.005616,0.01012665,1248.57,0.0,76,32,134,qwen2.5vl:3b
2026-08-27 04:49:09,v2_hybrid,qwen2.5:7b,specialist,44,44,42,95.5,9,19576,0.00646,0.002381,0.008841,0.01257465,734.95,4.763,75,29,82,qwen2.5vl:3b
2026-08-27 05:13:35,v2_hybrid,qwen2.5:7b,shared_generalist,44,44,42,95.5,11,18868,0.006226,0.008011,0.014237,0.01243755,1224.4,4.532,76,32,127,qwen2.5vl:3b
2026-08-27 05:24:31,v2_local,qwen2.5:3b,specialist,44,44,31,70.5,0,17235,0.005688,0.0,0.005688,0.0101331,488.63,0.0,84,39,63,qwen2.5vl:3b
2026-08-27 05:41:08,v2_local,qwen2.5:3b,shared_generalist,44,44,28,63.6,0,16806,0.005546,0.0,0.005546,0.01019235,838.21,0.0,82,38,149,qwen2.5vl:3b
2026-08-27 05:53:59,v2_hybrid,qwen2.5:3b,specialist,44,44,41,93.2,12,19330,0.006379,0.008393,0.014772,0.0133689,513.33,7.825,84,39,68,qwen2.5vl:3b
2026-08-27 06:11:59,v2_hybrid,qwen2.5:3b,shared_generalist,44,44,38,86.4,18,19154,0.006321,0.008864,0.015185,0.01379205,814.11,4.646,82,38,138,qwen2.5vl:3b
2026-08-27 06:26:42,v2_local,qwen2.5:7b,specialist,44,44,33,75.0,0,17528,0.005784,0.0,0.005784,0.01021425,729.34,0.0,76,30,80,qwen2.5vl:3b
2026-08-27 06:45:26,v2_local,qwen2.5:7b,shared_generalist,44,44,31,70.5,0,17198,0.005675,0.0,0.005675,0.01010115,964.07,0.0,76,31,131,qwen2.5vl:3b
2026-08-27 07:02:09,v2_hybrid,qwen2.5:7b,specialist,44,44,40,90.9,9,20294,0.006697,0.007968,0.014665,0.01268325,748.76,4.022,75,30,81,qwen2.5vl:3b
2026-08-27 07:26:45,v2_hybrid,qwen2.5:7b,shared_generalist,44,44,42,95.5,13,18670,0.006161,0.008603,0.014764,0.01328175,1206.54,6.111,76,31,122,qwen2.5vl:3b
2026-08-27 07:37:38,v2_local,qwen2.5:3b,specialist,44,44,36,81.8,0,17830,0.005884,0.0,0.005884,0.01030065,489.81,0.0,85,39,71,qwen2.5vl:3b
2026-08-27 07:50:19,v2_local,qwen2.5:3b,shared_generalist,44,44,24,54.5,0,17889,0.005903,0.0,0.005903,0.01027215,588.28,0.0,84,39,180,qwen2.5vl:3b
2026-08-27 08:02:38,v2_hybrid,qwen2.5:3b,specialist,44,44,43,97.7,9,19182,0.00633,0.007708,0.014038,0.0123861,494.51,4.139,83,39,68,qwen2.5vl:3b
2026-08-27 08:16:53,v2_hybrid,qwen2.5:3b,shared_generalist,44,44,38,86.4,19,18923,0.006245,0.009339,0.015584,0.01365975,559.66,8.518,85,39,156,qwen2.5vl:3b
2026-08-27 08:31:30,v2_local,qwen2.5:7b,specialist,44,44,33,75.0,0,18364,0.00606,0.0,0.00606,0.01033035,720.88,0.0,75,30,84,qwen2.5vl:3b
2026-08-27 08:49:59,v2_local,qwen2.5:7b,shared_generalist,44,44,33,75.0,0,17227,0.005685,0.0,0.005685,0.0102207,962.58,0.0,77,31,149,qwen2.5vl:3b
2026-08-27 09:06:45,v2_hybrid,qwen2.5:7b,specialist,44,44,40,90.9,11,19501,0.006435,0.008369,0.014804,0.0131721,750.27,6.496,76,30,77,qwen2.5vl:3b
2026-08-27 09:36:33,v2_hybrid,qwen2.5:7b,shared_generalist,44,44,41,93.2,12,18878,0.00623,0.007714,0.013944,0.0127788,1536.6,4.661,75,31,117,qwen2.5vl:3b
2026-08-30 17:08:15,v2_local,qwen2.5:3b,cloud_swarm,11,11,8,72.7,0,4805,0.001586,0.004639,0.006225,0.00272535,121.12,7.541,18,6,22,qwen2.5vl:3b
2026-08-30 17:16:27,v2_local,qwen2.5:3b,cloud_swarm,7,7,6,85.7,0,3027,0.000999,0.003973,0.004972,0.00152745,32.39,7.541,8,1,8,qwen2.5vl:3b
2026-08-30 17:22:48,v2_local,qwen2.5:3b,cloud_swarm,11,11,9,81.8,0,5022,0.001657,0.005436,0.007093,0.00277605,118.68,7.541,19,7,24,qwen2.5vl:3b
2026-08-30 17:31:43,v2_local,qwen2.5:3b,cloud_swarm,11,11,8,72.7,0,4570,0.001508,0.014939,0.016447,0.0026802,109.45,7.541,19,7,23,qwen2.5vl:3b
2026-08-30 17:38:35,v2_local,qwen2.5:3b,cloud_swarm,4,4,2,50.0,0,1989,0.000656,0.009501,0.010157,0.0011325,60.35,0.0,9,4,14,qwen2.5vl:3b
2026-08-30 18:18:05,v2_local,qwen2.5:3b,cloud_swarm,4,4,0,0.0,0,680,0.000224,0.009724,0.009948,0.0,67.39,0.0,9,4,14,qwen2.5vl:3b
2026-08-30 18:20:18,v2_local,qwen2.5:3b,cloud_swarm,4,4,2,50.0,0,2021,0.000667,0.011042,0.011709,0.00114135,71.79,0.0,10,4,16,qwen2.5vl:3b
