run_time,system,model,tasks_total,tasks_scored,tasks_passed,success_rate_pct,tasks_escalated,orchestration_tokens,orchestration_cost_usd,task_cost_usd,total_system_cost_usd,eval_cost_usd,total_latency_s,total_data_kb
2026-08-10 03:53:42,cloud_only,gpt-4o-mini,31,31,30,96.8,0,10160,0.003353,0.091299,0.094652,0.0064314,97.34,21.079
2026-08-10 03:56:19,local_only,qwen2.5:0.5b,31,31,18,58.1,0,11246,0.003711,0.004917,0.008628,0.0064542,37.14,0.025
2026-08-10 04:01:07,hybrid,qwen2.5:0.5b,31,31,30,96.8,17,12336,0.004071,0.008362,0.012433,0.00987735,35.37,11.36
2026-08-10 04:04:21,local_only,qwen2.5:1.5b,31,31,23,74.2,0,10898,0.003596,0.004884,0.00848,0.006504,59.36,0.025
2026-08-10 04:08:44,hybrid,qwen2.5:1.5b,31,31,30,96.8,10,11817,0.0039,0.007134,0.011034,0.00854325,60.56,8.869
2026-08-10 04:13:52,local_only,qwen2.5:3b,31,31,26,83.9,0,13396,0.004421,0.004956,0.009377,0.0068925,125.95,0.025
2026-08-10 04:19:31,hybrid,qwen2.5:3b,31,31,31,100.0,4,13910,0.00459,0.005857,0.010447,0.00759765,122.89,2.645
2026-08-10 04:25:49,local_only,qwen2.5:7b,31,31,29,93.5,0,10835,0.003576,0.004889,0.008465,0.0064602,199.8,0.025
2026-08-10 04:33:10,hybrid,qwen2.5:7b,31,31,31,100.0,4,11985,0.003955,0.005771,0.009726,0.00775695,212.1,3.411
2026-08-10 04:41:41,local_only,qwen2.5:7b-instruct-q8_0,31,31,29,93.5,0,11560,0.003815,0.004823,0.008638,0.0065661,333.2,0.025
2026-08-10 04:49:49,hybrid,qwen2.5:7b-instruct-q8_0,31,31,31,100.0,3,10850,0.00358,0.005671,0.009251,0.0073002,282.39,2.291
2026-08-10 04:54:31,local_only,llama3.2:3b,31,31,25,80.6,0,10301,0.003399,0.004807,0.008206,0.0064302,107.57,0.025
2026-08-10 05:00:01,hybrid,llama3.2:3b,31,31,30,96.8,7,10446,0.003447,0.006229,0.009676,0.0080028,93.12,3.736
2026-08-11 23:11:42,hybrid,qwen2.5:3b,31,31,29,93.5,6,13380,0.004415,0.001255,0.00567,0.00827715,144.03,3.986,llava:7b
2026-08-11 23:25:36,hybrid,qwen2.5:3b,31,31,30,96.8,5,13745,0.004536,0.001019,0.005555,0.0078615,131.12,2.749,llava:7b
2026-08-11 23:42:33,hybrid,qwen2.5:3b,31,31,30,96.8,7,13306,0.004391,0.001519,0.00591,0.0085377,121.87,4.819,qwen2.5vl:3b
2026-08-12 00:11:30,hybrid,qwen2.5:3b,35,35,34,97.1,6,16797,0.005543,0.008241,0.013784,0.0096126,173.13,6.507,qwen2.5vl:3b
2026-08-12 00:32:15,hybrid,qwen2.5:3b,35,35,34,97.1,5,15611,0.005152,0.007545,0.012697,0.0091263,158.15,1.552,qwen2.5vl:3b
