run_time,system,model,model_assignment,tasks_total,tasks_scored,tasks_passed,success_rate_pct,tasks_escalated,orchestration_tokens,orchestration_cost_usd,task_cost_usd,total_system_cost_usd,eval_cost_usd,total_latency_s,total_data_kb,total_iterations,tasks_retried,total_tool_calls,vision_model
2026-08-25 22:14:36,cloud_only,gpt-4o-mini,n/a,44,44,38,86.4,0,16373,0.005403,0.156655,0.162058,0.01009815,192.79,25.949,0,0,0,qwen2.5vl:3b
2026-08-25 22:18:47,local_only,qwen2.5:0.5b,n/a,44,44,23,52.3,0,16397,0.005411,0.0,0.005411,0.0099048,73.24,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 22:26:22,hybrid,qwen2.5:0.5b,n/a,44,44,39,88.6,21,20137,0.006645,0.004952,0.011597,0.0151617,57.77,11.927,0,0,0,qwen2.5vl:3b
2026-08-25 22:32:16,local_only,qwen2.5:1.5b,n/a,44,44,32,72.7,0,19235,0.006348,0.0,0.006348,0.0104772,123.58,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 22:39:39,hybrid,qwen2.5:1.5b,n/a,44,44,39,88.6,16,18984,0.006265,0.003818,0.010083,0.0142335,111.93,11.524,0,0,0,qwen2.5vl:3b
2026-08-25 22:46:11,local_only,qwen2.5:3b,n/a,44,44,34,77.3,0,20684,0.006826,0.0,0.006826,0.01060125,202.91,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 22:54:25,hybrid,qwen2.5:3b,n/a,44,44,38,86.4,10,20455,0.00675,0.002719,0.009469,0.01316415,192.55,5.106,0,0,0,qwen2.5vl:3b
2026-08-25 23:03:55,local_only,qwen2.5:7b,n/a,44,44,35,79.5,0,19500,0.006435,0.0,0.006435,0.0105261,366.07,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 23:13:57,hybrid,qwen2.5:7b,n/a,44,44,39,88.6,9,19523,0.006443,0.002112,0.008555,0.0127572,334.72,2.749,0,0,0,qwen2.5vl:3b
2026-08-25 23:26:27,local_only,qwen2.5:7b-instruct-q8_0,n/a,44,44,35,79.5,0,18997,0.006269,0.0,0.006269,0.0104676,542.05,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 23:39:21,hybrid,qwen2.5:7b-instruct-q8_0,n/a,44,44,39,88.6,9,19034,0.006281,0.00201,0.008291,0.0128178,521.67,1.69,0,0,0,qwen2.5vl:3b
2026-08-25 23:44:34,local_only,llama3.2:3b,n/a,44,44,37,84.1,0,14994,0.004948,0.0,0.004948,0.0097566,151.65,0.0,0,0,0,qwen2.5vl:3b
2026-08-25 23:52:06,hybrid,llama3.2:3b,n/a,44,44,38,86.4,13,18931,0.006247,0.00336,0.009607,0.01338855,155.85,5.35,0,0,0,qwen2.5vl:3b
2026-08-25 23:58:16,local_only,qwen2.5:3b,n/a,44,44,31,70.5,0,19702,0.006502,0.0,0.006502,0.0105102,195.13,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:04:32,local_only,qwen2.5:3b,n/a,44,44,29,65.9,0,19843,0.006548,0.0,0.006548,0.0104421,203.31,0.0,0,0,0,llava:7b
2026-08-26 00:10:50,cloud_only,gpt-4o-mini,n/a,44,44,37,84.1,0,16441,0.005426,0.157114,0.16254,0.0100389,193.97,25.949,0,0,0,qwen2.5vl:3b
2026-08-26 00:14:43,local_only,qwen2.5:0.5b,n/a,44,44,23,52.3,0,15318,0.005055,0.0,0.005055,0.0096813,69.76,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:21:30,hybrid,qwen2.5:0.5b,n/a,44,44,39,88.6,21,20859,0.006883,0.0099,0.016783,0.01604445,67.93,14.853,0,0,0,qwen2.5vl:3b
2026-08-26 00:26:05,local_only,qwen2.5:1.5b,n/a,44,44,34,77.3,0,18490,0.006102,0.0,0.006102,0.01037355,119.59,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:34:26,hybrid,qwen2.5:1.5b,n/a,44,44,39,88.6,13,18280,0.006032,0.008555,0.014587,0.0138234,220.71,5.671,0,0,0,qwen2.5vl:3b
2026-08-26 00:40:26,local_only,qwen2.5:3b,n/a,44,44,31,70.5,0,19062,0.00629,0.0,0.00629,0.01044705,190.45,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 00:48:21,hybrid,qwen2.5:3b,n/a,44,44,39,88.6,11,20739,0.006844,0.00241,0.009254,0.01363995,201.24,3.711,0,0,0,qwen2.5vl:3b
2026-08-26 00:57:02,local_only,qwen2.5:7b,n/a,44,44,35,79.5,0,18760,0.006191,0.0,0.006191,0.01042485,354.11,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:07:13,hybrid,qwen2.5:7b,n/a,44,44,39,88.6,9,18662,0.006158,0.002135,0.008293,0.0123963,326.72,3.228,0,0,0,qwen2.5vl:3b
2026-08-26 01:19:19,local_only,qwen2.5:7b-instruct-q8_0,n/a,44,44,35,79.5,0,19062,0.00629,0.0,0.00629,0.0104235,537.33,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:32:30,hybrid,qwen2.5:7b-instruct-q8_0,n/a,44,44,39,88.6,7,19541,0.006449,0.001573,0.008022,0.01207155,531.84,1.212,0,0,0,qwen2.5vl:3b
2026-08-26 01:37:59,local_only,llama3.2:3b,n/a,44,44,33,75.0,0,15669,0.005171,0.0,0.005171,0.0099915,152.39,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:44:58,hybrid,llama3.2:3b,n/a,44,44,40,90.9,10,18312,0.006043,0.002452,0.008495,0.0130395,147.83,3.927,0,0,0,qwen2.5vl:3b
2026-08-26 01:50:59,local_only,qwen2.5:3b,n/a,44,44,33,75.0,0,19809,0.006537,0.0,0.006537,0.0105171,194.7,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 01:56:51,local_only,qwen2.5:3b,n/a,44,44,24,54.5,0,19239,0.006349,0.0,0.006349,0.01038135,189.43,0.0,0,0,0,llava:7b
2026-08-26 02:02:38,cloud_only,gpt-4o-mini,n/a,44,44,37,84.1,0,16107,0.005315,0.155248,0.160563,0.01003065,175.43,25.949,0,0,0,qwen2.5vl:3b
2026-08-26 02:06:46,local_only,qwen2.5:0.5b,n/a,44,44,22,50.0,0,14673,0.004842,0.0,0.004842,0.00969555,68.64,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 02:14:10,hybrid,qwen2.5:0.5b,n/a,44,44,40,90.9,21,18889,0.006233,0.010517,0.01675,0.01542315,59.04,14.01,0,0,0,qwen2.5vl:3b
2026-08-26 02:19:00,local_only,qwen2.5:1.5b,n/a,44,44,32,72.7,0,18470,0.006095,0.0,0.006095,0.0103239,120.16,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 02:26:13,hybrid,qwen2.5:1.5b,n/a,44,44,38,86.4,16,19399,0.006402,0.004432,0.010834,0.0142482,110.11,11.063,0,0,0,qwen2.5vl:3b
2026-08-26 02:32:17,local_only,qwen2.5:3b,n/a,44,44,34,77.3,0,19813,0.006538,0.0,0.006538,0.01059765,198.0,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 02:40:56,hybrid,qwen2.5:3b,n/a,44,44,38,86.4,14,20571,0.006788,0.003389,0.010177,0.0143745,193.54,7.179,0,0,0,qwen2.5vl:3b
2026-08-26 02:49:56,local_only,qwen2.5:7b,n/a,44,44,35,79.5,0,19065,0.006291,0.0,0.006291,0.01046145,359.16,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:00:24,hybrid,qwen2.5:7b,n/a,44,44,38,86.4,10,20047,0.006616,0.002515,0.009131,0.013083,365.72,5.298,0,0,0,qwen2.5vl:3b
2026-08-26 03:12:09,local_only,qwen2.5:7b-instruct-q8_0,n/a,44,44,33,75.0,0,18572,0.006129,0.0,0.006129,0.0103785,525.27,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:24:41,hybrid,qwen2.5:7b-instruct-q8_0,n/a,44,44,39,88.6,9,18824,0.006212,0.002212,0.008424,0.01283625,502.69,3.424,0,0,0,qwen2.5vl:3b
2026-08-26 03:29:53,local_only,llama3.2:3b,n/a,44,44,31,70.5,0,15361,0.005069,0.0,0.005069,0.00985455,149.05,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:36:45,hybrid,llama3.2:3b,n/a,44,44,40,90.9,9,18139,0.005986,0.002413,0.008399,0.0127992,151.54,3.858,0,0,0,qwen2.5vl:3b
2026-08-26 03:42:46,local_only,qwen2.5:3b,n/a,44,44,32,72.7,0,20725,0.006839,0.0,0.006839,0.0106719,205.06,0.0,0,0,0,qwen2.5vl:3b
2026-08-26 03:48:58,local_only,qwen2.5:3b,n/a,44,44,26,59.1,0,20740,0.006844,0.0,0.006844,0.01066875,215.94,0.0,0,0,0,llava:7b
2026-08-26 12:39:12,v2_local,qwen2.5:3b,specialist,44,44,34,77.3,0,19137,0.006315,0.0,0.006315,0.01038765,544.22,0.0,85,39,77,qwen2.5vl:3b
