run_time,system,model,tasks_total,tasks_scored,tasks_passed,success_rate_pct,tasks_escalated,orchestration_tokens,orchestration_cost_usd,task_cost_usd,total_system_cost_usd,eval_cost_usd,total_latency_s,total_data_kb,vision_model
2026-08-13 02:57:34,cloud_only,gpt-4o-mini,35,35,34,97.1,0,11859,0.003913,0.122197,0.12611,0.00753375,128.41,21.153,qwen2.5vl:3b
2026-08-13 03:00:41,local_only,qwen2.5:0.5b,35,35,18,51.4,0,13744,0.004536,0.0,0.004536,0.0077844,66.95,0.0,qwen2.5vl:3b
2026-08-13 03:07:36,hybrid,qwen2.5:0.5b,35,35,34,97.1,14,13894,0.004585,0.003195,0.00778,0.010563,168.07,11.803,qwen2.5vl:3b
2026-08-13 03:11:15,local_only,qwen2.5:1.5b,35,35,29,82.9,0,14425,0.00476,0.0,0.00476,0.007899,98.93,0.0,qwen2.5vl:3b
2026-08-13 03:15:22,hybrid,qwen2.5:1.5b,35,35,34,97.1,6,13798,0.004553,0.006641,0.011194,0.0091068,79.58,2.42,qwen2.5vl:3b
2026-08-13 03:19:44,local_only,qwen2.5:3b,35,35,29,82.9,0,14618,0.004824,0.0,0.004824,0.00799185,141.36,0.0,qwen2.5vl:3b
2026-08-13 03:24:54,hybrid,qwen2.5:3b,35,35,34,97.1,6,14714,0.004856,0.006948,0.011804,0.00927015,135.71,5.434,qwen2.5vl:3b
2026-08-13 03:31:09,local_only,qwen2.5:7b,35,35,31,88.6,0,13791,0.004551,0.0,0.004551,0.00783885,249.2,0.0,qwen2.5vl:3b
2026-08-13 03:37:49,hybrid,qwen2.5:7b,35,35,35,100.0,4,13324,0.004397,0.006332,0.010729,0.00883575,239.15,2.578,qwen2.5vl:3b
2026-08-13 03:45:27,local_only,qwen2.5:7b-instruct-q8_0,35,35,33,94.3,0,12764,0.004212,0.0,0.004212,0.0076884,334.11,0.0,qwen2.5vl:3b
2026-08-13 03:53:36,hybrid,qwen2.5:7b-instruct-q8_0,35,35,34,97.1,3,13310,0.004392,0.000629,0.005021,0.0085815,332.8,1.537,qwen2.5vl:3b
2026-08-13 03:57:41,local_only,llama3.2:3b,35,35,32,91.4,0,12722,0.004198,0.0,0.004198,0.0076359,128.79,0.0,qwen2.5vl:3b
2026-08-13 04:02:16,hybrid,llama3.2:3b,35,35,34,97.1,4,11823,0.003902,0.006449,0.010351,0.0083217,107.95,2.449,qwen2.5vl:3b
2026-08-13 04:06:46,local_only,qwen2.5:3b,35,35,29,82.9,0,14486,0.00478,0.0,0.00478,0.0078678,136.46,0.0,qwen2.5vl:3b
2026-08-13 04:11:58,local_only,qwen2.5:3b,35,35,24,68.6,0,14958,0.004936,0.0,0.004936,0.00806445,160.82,0.0,llava:7b
2026-08-13 04:17:34,cloud_only,gpt-4o-mini,35,35,35,100.0,0,11754,0.003879,0.121569,0.125448,0.00755265,179.14,21.153,qwen2.5vl:3b
2026-08-13 04:21:07,local_only,qwen2.5:0.5b,35,35,23,65.7,0,12622,0.004165,0.0,0.004165,0.0075813,62.95,0.0,qwen2.5vl:3b
2026-08-13 04:25:45,hybrid,qwen2.5:0.5b,35,35,35,100.0,14,13825,0.004562,0.008618,0.01318,0.0104859,46.9,11.699,qwen2.5vl:3b
2026-08-13 04:29:34,local_only,qwen2.5:1.5b,35,35,27,77.1,0,14260,0.004706,0.0,0.004706,0.0078768,87.23,0.0,qwen2.5vl:3b
2026-08-13 04:33:54,hybrid,qwen2.5:1.5b,35,35,34,97.1,8,13279,0.004382,0.001429,0.005811,0.00925065,79.5,5.326,qwen2.5vl:3b
2026-08-13 04:38:12,local_only,qwen2.5:3b,35,35,28,80.0,0,14260,0.004706,0.0,0.004706,0.00788295,138.29,0.0,qwen2.5vl:3b
2026-08-13 04:43:10,hybrid,qwen2.5:3b,35,35,35,100.0,5,14214,0.004691,0.006563,0.011254,0.00892425,138.43,1.562,qwen2.5vl:3b
2026-08-13 04:48:48,local_only,qwen2.5:7b,35,35,31,88.6,0,12677,0.004183,0.0,0.004183,0.0076347,221.66,0.0,qwen2.5vl:3b
2026-08-13 04:55:20,hybrid,qwen2.5:7b,35,35,34,97.1,4,13138,0.004336,0.000754,0.00509,0.00850335,233.26,1.537,qwen2.5vl:3b
2026-08-13 05:03:19,local_only,qwen2.5:7b-instruct-q8_0,35,35,32,91.4,0,12775,0.004216,0.0,0.004216,0.00767655,335.41,0.0,qwen2.5vl:3b
2026-08-13 05:11:53,hybrid,qwen2.5:7b-instruct-q8_0,35,35,34,97.1,3,12787,0.00422,0.00058,0.0048,0.0082263,333.46,1.408,qwen2.5vl:3b
2026-08-13 05:16:30,local_only,llama3.2:3b,35,35,28,80.0,0,12936,0.004269,0.0,0.004269,0.0076941,130.99,0.0,qwen2.5vl:3b
2026-08-13 05:21:27,hybrid,llama3.2:3b,35,35,34,97.1,5,12257,0.004045,0.00611,0.010155,0.0086814,112.02,0.35,qwen2.5vl:3b
2026-08-13 05:26:05,local_only,qwen2.5:3b,35,35,29,82.9,0,14105,0.004655,0.0,0.004655,0.0078615,131.92,0.0,qwen2.5vl:3b
2026-08-13 05:31:04,local_only,qwen2.5:3b,35,35,25,71.4,0,14787,0.00488,0.0,0.00488,0.0080595,157.61,0.0,llava:7b
2026-08-13 05:35:42,cloud_only,gpt-4o-mini,35,35,34,97.1,0,12005,0.003962,0.123021,0.126983,0.0076143,130.63,21.153,qwen2.5vl:3b
2026-08-13 05:39:01,local_only,qwen2.5:0.5b,35,35,23,65.7,0,12488,0.004121,0.0,0.004121,0.0076095,63.38,0.0,qwen2.5vl:3b
2026-08-13 07:43:16,local_only,qwen2.5:1.5b,35,35,31,88.6,0,13635,0.0045,0.0,0.0045,0.00790395,98.1,0.0,qwen2.5vl:3b
2026-08-13 07:48:58,hybrid,qwen2.5:1.5b,35,35,34,97.1,10,14112,0.004657,0.008318,0.012975,0.0102903,85.69,9.531,qwen2.5vl:3b
2026-08-13 07:53:31,local_only,qwen2.5:3b,35,35,30,85.7,0,13431,0.004432,0.0,0.004432,0.00779085,123.99,0.0,qwen2.5vl:3b
2026-08-13 07:58:38,hybrid,qwen2.5:3b,35,35,35,100.0,5,13932,0.004598,0.00642,0.011018,0.00884295,127.74,1.562,qwen2.5vl:3b
2026-08-13 08:05:16,local_only,qwen2.5:7b,35,35,31,88.6,0,12206,0.004028,0.0,0.004028,0.00764355,223.79,0.0,qwen2.5vl:3b
2026-08-13 08:12:40,hybrid,qwen2.5:7b,35,35,35,100.0,2,13359,0.004408,0.000412,0.00482,0.0084246,257.63,0.325,qwen2.5vl:3b
2026-08-13 08:20:25,local_only,qwen2.5:7b-instruct-q8_0,35,35,32,91.4,0,12563,0.004146,0.0,0.004146,0.00763275,326.74,0.0,qwen2.5vl:3b
2026-08-13 08:28:58,hybrid,qwen2.5:7b-instruct-q8_0,35,35,35,100.0,2,12907,0.004259,0.000367,0.004626,0.00797685,330.52,0.196,qwen2.5vl:3b
2026-08-13 08:33:39,local_only,llama3.2:3b,35,35,29,82.9,0,12118,0.003999,0.0,0.003999,0.0075798,122.08,0.0,qwen2.5vl:3b
2026-08-13 08:39:40,local_only,qwen2.5:3b,35,35,30,85.7,0,14063,0.004641,0.0,0.004641,0.0079047,140.45,0.0,qwen2.5vl:3b
2026-08-13 08:44:40,local_only,qwen2.5:3b,35,35,27,77.1,0,14001,0.00462,0.0,0.00462,0.0080037,146.97,0.0,llava:7b
2026-08-14 17:42:06,hybrid,qwen2.5:3b,40,38,37,97.4,5,15992,0.005277,0.001087,0.006364,0.00958395,161.11,2.395,qwen2.5vl:3b
2026-08-14 17:50:42,hybrid,qwen2.5:3b,40,40,39,97.5,10,17872,0.005898,0.006909,0.012807,0.0110535,179.74,2.901,qwen2.5vl:3b
2026-08-18 22:41:53,v2_local,qwen2.5:3b,40,40,20,50.0,0,15927,0.005256,0.0,0.005256,0.0089898,470.59,0.0,qwen2.5vl:3b
2026-08-18 23:13:36,v2_local,qwen2.5:3b,40,40,29,72.5,0,16881,0.005571,0.0,0.005571,0.00920085,429.16,0.0,qwen2.5vl:3b
2026-08-19 02:27:07,v2_local,qwen2.5:3b,40,40,30,75.0,0,17081,0.005637,0.0,0.005637,0.0091479,416.34,0.0,qwen2.5vl:3b
2026-08-19 03:08:25,v2_local,qwen2.5:3b,40,40,33,82.5,0,17091,0.00564,0.0,0.00564,0.0091614,418.79,0.0,qwen2.5vl:3b
