System,Model,Assignment,n,Success%,SD,Escalated,Cost$,Cost/pass$,Latency_s,Data_KB,Retried,ToolCalls
cloud_only,gpt-4o-mini,n/a,3,84.87,1.33,0.0,0.16172,0.00433,187.4,25.95,0.0,0.0
hybrid,llama3.2:3b,n/a,3,89.4,2.6,10.67,0.00883,0.00022,151.74,4.38,0.0,0.0
hybrid,qwen2.5:0.5b,n/a,3,89.37,1.33,21.0,0.01504,0.00038,61.58,13.6,0.0,0.0
hybrid,qwen2.5:1.5b,n/a,3,87.87,1.27,15.0,0.01183,0.00031,147.58,9.42,0.0,0.0
hybrid,qwen2.5:3b,n/a,3,87.13,1.27,11.67,0.00963,0.00025,195.78,5.33,0.0,0.0
hybrid,qwen2.5:7b,n/a,3,87.87,1.27,9.33,0.00866,0.00022,342.39,3.76,0.0,0.0
hybrid,qwen2.5:7b-instruct-q8_0,n/a,3,88.6,0.0,8.33,0.00825,0.00021,518.73,2.11,0.0,0.0
local_only,llama3.2:3b,n/a,3,76.53,6.93,0.0,0.00506,0.00015,151.03,0.0,0.0,0.0
local_only,qwen2.5:0.5b,n/a,3,51.53,1.33,0.0,0.0051,0.00023,70.55,0.0,0.0,0.0
local_only,qwen2.5:1.5b,n/a,3,74.23,2.66,0.0,0.00618,0.00019,121.11,0.0,0.0,0.0
local_only,qwen2.5:3b,n/a,3,59.83,5.74,0.0,0.00658,0.00025,202.89,0.0,0.0,0.0
local_only,qwen2.5:3b,n/a,6,73.88,3.13,0.0,0.00659,0.0002,197.71,0.0,0.0,0.0
local_only,qwen2.5:7b,n/a,3,79.5,0.0,0.0,0.00631,0.00018,359.78,0.0,0.0,0.0
local_only,qwen2.5:7b-instruct-q8_0,n/a,3,78.0,2.6,0.0,0.00623,0.00018,534.88,0.0,0.0,0.0
v2_local,qwen2.5:3b,specialist,1,77.3,0.0,0.0,0.00632,0.00019,544.22,0.0,39.0,77.0
