system,model,model_assignment,A,B,C,D,E,F,G,H
cloud_only,gpt-4o-mini,n/a,85.7,100.0,100.0,100.0,100.0,100.0,79.2,0.0
hybrid,llama3.2:3b,n/a,95.2,100.0,100.0,100.0,100.0,100.0,95.8,0.0
hybrid,qwen2.5:0.5b,n/a,85.7,100.0,100.0,100.0,100.0,100.0,100.0,8.3
hybrid,qwen2.5:1.5b,n/a,85.7,100.0,100.0,100.0,100.0,100.0,95.8,0.0
hybrid,qwen2.5:3b,n/a,81.0,100.0,100.0,100.0,100.0,100.0,91.7,8.3
hybrid,qwen2.5:7b,n/a,90.5,100.0,100.0,100.0,100.0,100.0,91.7,0.0
hybrid,qwen2.5:7b-instruct-q8_0,n/a,90.5,100.0,100.0,100.0,100.0,100.0,91.7,8.3
local_only,llama3.2:3b,n/a,57.1,93.3,80.0,86.7,93.3,100.0,75.0,25.0
local_only,qwen2.5:0.5b,n/a,23.8,73.3,53.3,60.0,100.0,86.7,29.2,0.0
local_only,qwen2.5:1.5b,n/a,47.6,100.0,80.0,86.7,100.0,100.0,75.0,0.0
local_only,qwen2.5:3b,n/a,46.0,97.8,77.8,100.0,64.4,100.0,65.3,0.0
local_only,qwen2.5:7b,n/a,61.9,100.0,73.3,100.0,100.0,100.0,87.5,0.0
local_only,qwen2.5:7b-instruct-q8_0,n/a,71.4,100.0,80.0,100.0,93.3,93.3,75.0,0.0
v2_local,qwen2.5:3b,specialist,42.9,80.0,100.0,80.0,100.0,60.0,87.5,75.0
