System,Model,Assignment,Orchestration$,TotalSystem$,Evaluation$,TaskExecution$
cloud_only,gpt-4o-mini,n/a,0.005381333333333333,0.16172033333333333,0.0100559,0.156339
hybrid,llama3.2:3b,n/a,0.006092,0.008833666666666667,0.013075750000000002,0.0027416666666666666
hybrid,qwen2.5:0.5b,n/a,0.006587,0.015043333333333334,0.015543099999999999,0.008456333333333333
hybrid,qwen2.5:1.5b,n/a,0.006233,0.011834666666666667,0.0141017,0.005601666666666667
hybrid,qwen2.5:3b,n/a,0.0067940000000000006,0.009633333333333334,0.0137262,0.0028393333333333335
hybrid,qwen2.5:7b,n/a,0.006405666666666667,0.008659666666666668,0.0127455,0.002254000000000001
hybrid,qwen2.5:7b-instruct-q8_0,n/a,0.006314,0.008245666666666667,0.0125752,0.0019316666666666666
local_only,llama3.2:3b,n/a,0.005062666666666667,0.005062666666666667,0.009867550000000001,0.0
local_only,qwen2.5:0.5b,n/a,0.005102666666666666,0.005102666666666666,0.00976055,0.0
local_only,qwen2.5:1.5b,n/a,0.006181666666666666,0.006181666666666666,0.010391550000000001,0.0
local_only,qwen2.5:3b,n/a,0.006580333333333334,0.006580333333333334,0.010497399999999999,0.0
local_only,qwen2.5:3b,n/a,0.006588666666666666,0.006588666666666666,0.010557525,0.0
local_only,qwen2.5:7b,n/a,0.006305666666666667,0.006305666666666667,0.0104708,0.0
local_only,qwen2.5:7b-instruct-q8_0,n/a,0.006229333333333333,0.006229333333333333,0.0104232,0.0
v2_local,qwen2.5:3b,specialist,0.006315,0.006315,0.01038765,0.0
