System,Local model,Model assignment,Runs,Passed %,SD,Escalated,API cost $,Hardware $,Total $,API $/pass,Total $/pass,Latency s,Data KB,Retried,Tool calls
Cloud-only (single call),GPT-4o-mini,Single model (v1),3,84.87,1.33,0.0,0.16172,0.0,0.16172,0.004332,0.004332,187.4,25.95,0.0,0.0
"Cloud swarm (v2 architecture, cloud models)",GPT-4o-mini,All agents cloud-hosted,3,88.63,2.25,0.0,0.06235,0.0,0.06235,0.001599,0.001599,419.7,25.85,22.67,87.33
"Hybrid (v1, escalation)",Llama 3.2 3B,Single model (v1),3,89.4,2.6,10.67,0.008834,0.026039,0.034873,0.000225,0.000887,151.74,4.38,0.0,0.0
"Hybrid (v1, escalation)",Qwen2.5 0.5B,Single model (v1),3,89.37,1.33,21.0,0.015043,0.010567,0.025611,0.000382,0.000651,61.58,13.6,0.0,0.0
"Hybrid (v1, escalation)",Qwen2.5 1.5B,Single model (v1),3,87.87,1.27,15.0,0.011835,0.025326,0.037161,0.000306,0.000961,147.58,9.42,0.0,0.0
"Hybrid (v1, escalation)",Qwen2.5 3B,Single model (v1),3,87.13,1.27,11.67,0.009633,0.033596,0.043229,0.000251,0.001128,195.78,5.33,0.0,0.0
"Hybrid (v1, escalation)",Qwen2.5 7B (q4),Single model (v1),3,87.87,1.27,9.33,0.00866,0.058755,0.067415,0.000224,0.001743,342.39,3.76,0.0,0.0
"Hybrid (v1, escalation)",Qwen2.5 7B (q8),Single model (v1),3,88.6,0.0,8.33,0.008246,0.089017,0.097262,0.000211,0.002494,518.73,2.11,0.0,0.0
"Local-only (v1, no tools)",Llama 3.2 3B,Single model (v1),3,76.53,6.93,0.0,0.005063,0.025917,0.03098,0.00015,0.00092,151.03,0.0,0.0,0.0
"Local-only (v1, no tools)",Qwen2.5 0.5B,Single model (v1),3,51.53,1.33,0.0,0.005103,0.012106,0.017209,0.000225,0.000759,70.55,0.0,0.0,0.0
"Local-only (v1, no tools)",Qwen2.5 1.5B,Single model (v1),3,74.23,2.66,0.0,0.006182,0.020783,0.026965,0.000189,0.000825,121.11,0.0,0.0,0.0
"Local-only (v1, no tools)",Qwen2.5 3B,Single model (v1),3,59.83,5.74,0.0,0.00658,0.034817,0.041398,0.00025,0.001572,202.89,0.0,0.0,0.0
"Local-only (v1, no tools)",Qwen2.5 3B,Single model (v1),6,73.88,3.13,0.0,0.006589,0.033928,0.040516,0.000203,0.001247,197.71,0.0,0.0,0.0
"Local-only (v1, no tools)",Qwen2.5 7B (q4),Single model (v1),3,79.5,0.0,0.0,0.006306,0.06174,0.068045,0.00018,0.001944,359.78,0.0,0.0,0.0
"Local-only (v1, no tools)",Qwen2.5 7B (q8),Single model (v1),3,78.0,2.6,0.0,0.006229,0.091788,0.098018,0.000181,0.002855,534.88,0.0,0.0,0.0
"Hybrid (v2, tools + escalation)",Qwen2.5 3B,One shared generalist model,3,88.67,3.93,17.67,0.015074,0.11057,0.125644,0.000387,0.003222,644.33,6.3,38.67,151.67
"Hybrid (v2, tools + escalation)",Qwen2.5 3B,Specialist models per agent,3,92.43,5.69,11.67,0.014875,0.085777,0.100652,0.000366,0.002475,499.85,6.75,39.0,71.0
"Hybrid (v2, tools + escalation)",Qwen2.5 7B (q4),One shared generalist model,3,94.73,1.33,12.0,0.014315,0.226949,0.241264,0.000344,0.00579,1322.51,5.1,31.33,122.0
"Hybrid (v2, tools + escalation)",Qwen2.5 7B (q4),Specialist models per agent,3,92.43,2.66,9.67,0.01277,0.127787,0.140557,0.000314,0.003456,744.66,5.09,29.67,80.0
"Local-only (v2, tools + iteration)",Qwen2.5 3B,One shared generalist model,3,59.83,4.75,0.0,0.005701,0.144587,0.150288,0.000217,0.005707,842.56,0.0,37.67,152.0
"Local-only (v2, tools + iteration)",Qwen2.5 3B,Specialist models per agent,3,72.73,8.18,0.0,0.00595,0.085478,0.091429,0.000186,0.002857,498.11,0.0,39.0,68.0
"Local-only (v2, tools + iteration)",Qwen2.5 7B (q4),One shared generalist model,3,71.23,3.46,0.0,0.005659,0.181627,0.187286,0.000181,0.005977,1058.41,0.0,31.33,138.0
"Local-only (v2, tools + iteration)",Qwen2.5 7B (q4),Specialist models per agent,3,78.03,5.25,0.0,0.005901,0.128028,0.133928,0.000172,0.003901,746.06,0.0,29.67,83.0
