System,Model,Assignment,Orchestration $,API total $,Hardware $,System total $,Evaluation overhead $,Task execution $
cloud_only,gpt-4o-mini,n/a,0.005381333333333333,0.16172033333333333,0.0,0.16172033333333333,0.0100559,0.156339
cloud_swarm,gpt-4o-mini,cloud_swarm,0.006017000000000001,0.062350333333333334,0.0,0.062350333333333334,0.0104241,0.05633333333333333
hybrid,llama3.2:3b,n/a,0.006092,0.008833666666666667,0.026039220527016748,0.034872887193683415,0.013075750000000002,0.0027416666666666666
hybrid,qwen2.5:0.5b,n/a,0.006587,0.015043333333333334,0.010567386319056883,0.025610719652390215,0.015543099999999999,0.008456333333333333
hybrid,qwen2.5:1.5b,n/a,0.006233,0.011834666666666667,0.025325919090410494,0.03716058575707716,0.0141017,0.005601666666666667
hybrid,qwen2.5:3b,n/a,0.0067940000000000006,0.009633333333333334,0.03359609725436656,0.043229430587699895,0.0137262,0.0028393333333333335
hybrid,qwen2.5:7b,n/a,0.006405666666666667,0.008659666666666668,0.05875498826178666,0.06741465492845333,0.0127455,0.002254000000000001
hybrid,qwen2.5:7b-instruct-q8_0,n/a,0.006314,0.008245666666666667,0.08901681601015654,0.0972624826768232,0.0125752,0.0019316666666666666
local_only,llama3.2:3b,n/a,0.005062666666666667,0.005062666666666667,0.02591738154867101,0.030980048215337678,0.009867550000000001,0.0
local_only,qwen2.5:0.5b,n/a,0.005102666666666666,0.005102666666666666,0.01210610393290678,0.017208770599573445,0.00976055,0.0
local_only,qwen2.5:1.5b,n/a,0.006181666666666666,0.006181666666666666,0.02078298403866481,0.026964650705331474,0.010391550000000001,0.0
local_only,qwen2.5:3b,n/a,0.006580333333333334,0.006580333333333334,0.034817347107738136,0.04139768044107147,0.010497399999999999,0.0
local_only,qwen2.5:3b,n/a,0.006588666666666666,0.006588666666666666,0.03392757935742456,0.04051624602409123,0.010557525,0.0
local_only,qwen2.5:7b,n/a,0.006305666666666667,0.006305666666666667,0.06173975722426576,0.06804542389093242,0.0104708,0.0
local_only,qwen2.5:7b-instruct-q8_0,n/a,0.006229333333333333,0.006229333333333333,0.0917882237570349,0.09801755709036823,0.0104232,0.0
v2_hybrid,qwen2.5:3b,shared_generalist,0.006211,0.015073666666666666,0.110570302883712,0.12564396955037865,0.01346685,0.008862666666666665
v2_hybrid,qwen2.5:3b,specialist,0.006474333333333333,0.014875333333333332,0.08577692881132909,0.10065226214466243,0.0132764,0.008400999999999999
v2_hybrid,qwen2.5:7b,shared_generalist,0.0062056666666666675,0.014315,0.2269488357492202,0.2412638357492202,0.0128327,0.008109333333333333
v2_hybrid,qwen2.5:7b,specialist,0.006530666666666666,0.012769999999999998,0.12778677973934552,0.14055677973934552,0.01281,0.006239333333333332
v2_local,qwen2.5:3b,shared_generalist,0.005701333333333333,0.005701333333333333,0.14458683041546877,0.1502881637488021,0.01014575,0.0
v2_local,qwen2.5:3b,specialist,0.005950333333333333,0.005950333333333333,0.08547833751228462,0.09142867084561795,0.01023395,0.0
v2_local,qwen2.5:7b,shared_generalist,0.005658666666666667,0.005658666666666667,0.18162702386053803,0.1872856905272047,0.010149499999999999,0.0
v2_local,qwen2.5:7b,specialist,0.005900666666666668,0.005900666666666668,0.12802759762612279,0.13392826429278945,0.01025625,0.0
